2022-09-21 00:14:46 startup archives unpack
2022-09-21 00:15:00 upgrade libcc1-0:amd64 5.4.0-6ubuntu1~16.04.12 5.4.0-6ubuntu1~16.04.12
2022-09-21 00:15:00 status triggers-pending libc-bin:amd64 2.23-0ubuntu11.3
2022-09-21 00:15:01 status half-configured libcc1-0:amd64 5.4.0-6ubuntu1~16.04.12
2022-09-21 00:15:01 status unpacked libcc1-0:amd64 5.4.0-6ubuntu1~16.04.12
2022-09-21 00:15:01 status half-installed libcc1-0:amd64 5.4.0-6ubuntu1~16.04.12
2022-09-21 00:15:02 status half-installed libcc1-0:amd64 5.4.0-6ubuntu1~16.04.12
2022-09-21 00:15:02 status unpacked libcc1-0:amd64 5.4.0-6ubuntu1~16.04.12
2022-09-21 00:15:02 status unpacked libcc1-0:amd64 5.4.0-6ubuntu1~16.04.12
2022-09-21 00:15:02 trigproc libc-bin:amd64 2.23-0ubuntu11.3 <none>
2022-09-21 00:15:02 status half-configured libc-bin:amd64 2.23-0ubuntu11.3
2022-09-21 00:15:16 status installed libc-bin:amd64 2.23-0ubuntu11.3
2022-09-21 00:15:16 startup archives unpack
2022-09-21 00:15:16 upgrade libubsan0:amd64 5.4.0-6ubuntu1~16.04.12 5.4.0-6ubuntu1~16.04.12
2022-09-21 00:15:16 status triggers-pending libc-bin:amd64 2.23-0ubuntu11.3
2022-09-21 00:15:16 status half-configured libubsan0:amd64 5.4.0-6ubuntu1~16.04.12
2022-09-21 00:15:16 status unpacked libubsan0:amd64 5.4.0-6ubuntu1~16.04.12
2022-09-21 00:15:16 status half-installed libubsan0:amd64 5.4.0-6ubuntu1~16.04.12
2022-09-21 00:15:16 status half-installed libubsan0:amd64 5.4.0-6ubuntu1~16.04.12
2022-09-21 00:15:16 status unpacked libubsan0:amd64 5.4.0-6ubuntu1~16.04.12
2022-09-21 00:15:16 status unpacked libubsan0:amd64 5.4.0-6ubuntu1~16.04.12
2022-09-21 00:15:16 trigproc libc-bin:amd64 2.23-0ubuntu11.3 <none>
2022-09-21 00:15:16 status half-configured libc-bin:amd64 2.23-0ubuntu11.3
2022-09-21 00:15:17 status installed libc-bin:amd64 2.23-0ubuntu11.3
2022-09-21 00:15:17 startup archives unpack
2022-09-21 00:15:17 upgrade libasan2:amd64 5.4.0-6ubuntu1~16.04.12 5.4.0-6ubuntu1~16.04.12
2022-09-21 00:15:17 status triggers-pending libc-bin:amd64 2.23-0ubuntu11.3
2022-09-21 00:15:17 status half-configured libasan2:amd64 5.4.0-6ubuntu1~16.04.12
2022-09-21 00:15:17 status unpacked libasan2:amd64 5.4.0-6ubuntu1~16.04.12
2022-09-21 00:15:17 status half-installed libasan2:amd64 5.4.0-6ubuntu1~16.04.12
2022-09-21 00:15:17 status half-installed libasan2:amd64 5.4.0-6ubuntu1~16.04.12
2022-09-21 00:15:17 status unpacked libasan2:amd64 5.4.0-6ubuntu1~16.04.12
2022-09-21 00:15:17 status unpacked libasan2:amd64 5.4.0-6ubuntu1~16.04.12
2022-09-21 00:15:17 trigproc libc-bin:amd64 2.23-0ubuntu11.3 <none>
2022-09-21 00:15:17 status half-configured libc-bin:amd64 2.23-0ubuntu11.3
2022-09-21 00:15:17 status installed libc-bin:amd64 2.23-0ubuntu11.3
2022-09-21 00:15:17 startup archives unpack
